account,primary_label,64500 - Contracted Food Service,61160 - Other Professional Fees,61580 - Procurement/Vendor Management,64540 - Dues and Subscriptions,61680 - Computer Service Fees,61120 - Consulting Fee,64980 - Pest Control,61780 - Contracted SPED,65040 - Instructional Licenses,65210 - Office Supplies,64940 - Water and Sewer,64180 - Equipment Rent & Lease Expense,64520 - Licenses and Permits,65100 - Testing Materials,70100 - Capitalized Expenses : IT Equipment Cap Ex,64440 - Extracurricular Activities,60120 - Stipend,64990 - Waste Disposal Expense,61740 - Marketing & Advertising,65250 - Printing & Reproduction,64790 - Marketing & Advertising : Website Expense,66020 - General Interest Expense,64600 - Bank Charges,61930 - General Liability Insurance,64910 - Electricity,64800 - Postage and Shipping,65200 - Supplies,61540 - Support Center Fees : Finance and Accounting SCF,60080 - Bonus,61530 - Support Center Fees : Personnel Management,64400 - Student Transportation,65060 - Library Books,63840 - Contracted School Safety,61840 - Professional Development & Training Exp,61960 - Property Insurance,68200 - Computer & Equipment Non Cap,61620 - Support Center Fees : Sponsorship SCF,65900 - Food (Cafeteria) - Lunch,60990 - Property Tax,75000 - Internal Funds Expense,62300 - Function Expense,63420 - Janitorial/Custodial,68100 - Furniture Fixtures Equipment Non Cap,61520 - Management Fee,61560 - Support Center Fees : Educational Intellectual Prop.,71060 - Furniture Fixtures Equipment Depreciation,71100 - IT Equipment Depreciation,65020 - Student Workbooks,65910 - Food (Cafeteria) - Breakfast,61410 - District Funding Admin Fee,61820 - Contract / Temp Labor,62200 - Lodging,62040 - Airfare,66520 - Reductions in Debt,71040 - Building Depreciation,68220 - Computer Software Non Cap,65000 - Textbooks-NonCap,63820 - General Security,41020 - Interest Income : General Interest,63880 - Security : Security Resource Officer,43350 - Enrollment Revenue Adjustment,64720 - Internet,63860 - Security Monitoring,63280 - Facilities Support-Labor,63360 - HVAC Material & Supplies,40107 - Internal Funds Revenue,63300 - Facilities Support-Material,65901 - Food Commodity Expense,63320 - HVAC Expenses,64740 - E-Rate Reimbursement,65240 - Classroom,63470 - Plumbing,61060 - General Matters,61932 - Insurance- Cyber Board/GF,60340 - Taxes PTO Accrual,63120 - Building/Office,60870 - Uniform,40025 - Federal Revenue,40100 - Local Revenue,60140 - Sick Day Buy Out,60100 - 10 Month Accrual,60420 - General Benefits,63180 - R&M Building : Door Hardware & Keys,60040 - Regular Wages-Non-Exempt,60320 - Wages PTO Accrual,60060 - Overtime,63380 - Facilities,40050 - State Revenue,60480 - Employee insurance,60640 - FICA,62110 - Car Rental,60690 - 10 Month Accrual Payroll Taxes,60020 - Regular Wages-Exempt,63400 - Installation,60440 - 401(k) Match,60520 - Workers Compensation,41117 - State MFP-BOSS,62160 - Mileage,41119 - MFP - Local BOSS,64760 - Telephone,63440 - Landscaping,60680 - SUTA,60660 - FUTA,63260 - Fire Monitoring
Contracted Food Service,64500 - Contracted Food Service,0.7835659706065347,0.23382819709572644,0.3115584828675721,0.22846080386266313,0.289035427230611,0.28156775900453246,0.2876272166811573,0.4819403173864707,0.19246786085642953,0.2474703626545758,0.27570555756162085,0.25095814449187537,0.1868663189970076,0.20227789144288943,0.23400301237522433,0.25001575975733087,0.2316169616017235,0.2562347014013677,0.24702372721716778,0.20794549015687286,0.2213862222354917,0.15758808753604198,0.20032119685526512,0.2172215258861526,0.1905772190998231,0.21490842637806365,0.30849397686029567,0.3008491596693408,0.16444708827258536,0.2871123778280742,0.31137161832786847,0.1787935406960852,0.5016064751162159,0.29097154627198746,0.1927945879065243,0.25204050523388044,0.2878667909788166,0.49786037807600464,0.17789236046893275,0.21957636333755234,0.2734819512704692,0.3819100980105516,0.2574245441428838,0.2656488465222154,0.21995115250804706,0.19577400538782985,0.17636461225105296,0.21110443859459366,0.47429438898345844,0.27511065350770336,0.4395374575754879,0.2809411455046974,0.18914256827225148,0.204142034842818,0.15623454151357263,0.22340968513046192,0.19507976978210406,0.25748313385528654,0.15171262645376507,0.2963762215702443,0.263101213844488,0.21619027525185072,0.25125088539819673,0.4091912464860643,0.2503963597025015,0.22116321728110067,0.37616809885573005,0.42359743743099676,0.2792693855670674,0.28164544105772166,0.23066394361287315,0.2403316215313155,0.20144002790699234,0.25305404818542476,0.1914961607339864,0.24040238409786566,0.22634527321904227,0.20173316548265147,0.21314069248203987,0.3272821418057766,0.25673582779915116,0.23146768313602606,0.18682461423352312,0.27371015362636464,0.2353319927314153,0.24996074221612616,0.35689221729809767,0.1821000775812354,0.2342537403263689,0.230030847665843,0.20169134604418903,0.20180593902621372,0.2588757063883148,0.27571682939278497,0.2078033557910665,0.2495729639244852,0.28886632286980063,0.11051673541116118,0.265096040361595,0.19754243357399234,0.25555591469529443,0.22164877967504604,0.18619068271830627,0.21868187085148777
Professional Fees - Other,61160 - Other Professional Fees,0.3496747528799606,0.764187679248697,0.31154771511241225,0.46303568148642565,0.5273777214894538,0.6156338723710039,0.26125003993550505,0.32263525698724504,0.27332121234134077,0.34151457652182204,0.3211071354524351,0.41001959298480717,0.36846835840765413,0.3256119601079412,0.42289226569225763,0.3376038213365429,0.35352850605915076,0.42317562866210306,0.35493740162468657,0.3212837278086388,0.44534153331634446,0.4430302417543431,0.5091427651529401,0.36742440351418054,0.3185061108635376,0.37420954787301447,0.37993213368852835,0.48887423061563634,0.2801713165376103,0.4855725420240699,0.31133638650491874,0.2687666905196495,0.2622738036215177,0.3791620868012158,0.33365909607575556,0.38031735216892826,0.4547811561761979,0.34207153332520573,0.383522489071035,0.47045556934265825,0.5361210356422819,0.2952059268953005,0.4298164192080825,0.52508746440712,0.4964554758660732,0.3850766895669169,0.39111301634566775,0.2636663713265072,0.3101615476316733,0.4226797802814365,0.36776772572325506,0.3413118307221133,0.3387766712662691,0.31526972741137743,0.3995875233714648,0.3833829640429705,0.3434559820355627,0.2744557389916458,0.42203202374343185,0.2350794400590363,0.36413014754721496,0.26056465713502985,0.27240636821705716,0.3392747186811775,0.24908813707935126,0.38926851339882584,0.36995839641902106,0.39757831995514764,0.3840466236905689,0.36938928474703153,0.2507774746630143,0.30574394887882067,0.40771766478090765,0.36765081872039423,0.3980675420124417,0.3135778090740322,0.20937666290035895,0.3900339453711439,0.379904408409335,0.32943979418087804,0.3766326359109416,0.34137069455205826,0.23230710124803405,0.37377903449182903,0.31676273944952354,0.36605760390215436,0.355982478620907,0.3387895574353834,0.3450613817317149,0.3617669360430013,0.2823794353400497,0.35866290336503787,0.3585340647636482,0.33863202849052404,0.30427350843497114,0.3414545712540369,0.2744194248010458,0.23258803743645767,0.27956697616212445,0.24897630804382567,0.31934796093119394,0.2838758623676328,0.3011049959534147,0.24103527430489752
Procurement/Vendor Management,61580 - Procurement/Vendor Management,0.28446368431112595,0.22801540512886395,0.7634973615441005,0.17941907142958402,0.2320161758466102,0.25762700919404724,0.21058180377052862,0.23984076513997615,0.16198400496748255,0.2999400040429089,0.205591920158528,0.2078222590006474,0.24218291591736885,0.26202067729320183,0.30635399050856427,0.1497516869712155,0.18081087366601428,0.23144552527057333,0.2764505271232025,0.2076780630356983,0.24840833639469218,0.16307230775020753,0.20325264136083282,0.21961999843744479,0.18071008120461476,0.2491236827499202,0.3341687634454164,0.3263315797895303,0.13889938414683986,0.3272862699580602,0.1950695295023333,0.1719474854655697,0.21200403598801637,0.30839257140243637,0.2057340375680563,0.2624271025648936,0.29837697923411316,0.21134089458233496,0.17587776452833045,0.2479214939054404,0.22071760860905573,0.2612156521266642,0.23194156417829256,0.3181963155504271,0.24349022422861916,0.1882536583924498,0.23099565571372452,0.21105727534314778,0.2009705731245084,0.23022338068487874,0.3505456191572679,0.168963100074398,0.1965599384399887,0.1822342190711136,0.1532352007026419,0.23342147768926808,0.2170062046686256,0.23276213944592203,0.14360868594816714,0.20262151619408666,0.19250912778769388,0.1868651255831669,0.25394974447521024,0.3085962660278487,0.25333470594543733,0.21892549074239412,0.38172667205875416,0.2834518955661405,0.19098779821958983,0.2914308135409407,0.1613002567936264,0.19074387259081804,0.2527828868977775,0.27685462472445704,0.18397323066090282,0.2492995864255077,0.1749034341744944,0.16119843543170811,0.18832461136412706,0.24199226855022626,0.2347286440143118,0.2124211776158981,0.18991147124345414,0.18262546798458407,0.2025922435857904,0.17280088715127656,0.23163417415728807,0.1772833360237475,0.1754520602601778,0.1603026198451066,0.17103026793633383,0.157326586500421,0.18147805053440666,0.2242579611263935,0.18013724680811266,0.1900140201782024,0.25439813449476123,0.1093570396794777,0.2739482603145326,0.1345973383985678,0.20045648745193814,0.19192465445159118,0.13809063109581732,0.20980855502033702
Dues & Subscriptions,64540 - Dues and Subscriptions,0.21813516617010478,0.34300518483395026,0.1963359017886327,0.7423270717593055,0.3521063090011682,0.33627697865600975,0.16862020210337195,0.19398039962926125,0.21146976008552698,0.24266444499788992,0.2667102368586226,0.29764049451527924,0.2950201935022244,0.2106801254865098,0.2652622940405287,0.2678634971391918,0.3322060839820744,0.2716852544115502,0.23781206366101987,0.2757519860548661,0.3470213268243533,0.2995949625534,0.34325745372401,0.2603630876095216,0.20095023948970045,0.3567990198303238,0.3118026979475571,0.3587682616412978,0.2449803826714324,0.34756407004763124,0.21237551961904647,0.25875678664638296,0.18612431211953198,0.2851505247723797,0.2443165527666518,0.25641063522715424,0.39772681215965694,0.2567737430254562,0.31812963738774963,0.3259620121546732,0.3468971148638452,0.19689723131647563,0.27013148899302314,0.3261434546972577,0.35892015683467104,0.23749494623452624,0.25050525906575294,0.24255871766071438,0.23224864493102704,0.3772728712638944,0.26092529377041873,0.2400878255273759,0.23400954305095337,0.26614187604095074,0.2579595409938582,0.2484293072824375,0.29926109921370353,0.20285648656551286,0.28658201727301513,0.15586805936337553,0.3154193969529077,0.21941702652150366,0.20099606600237244,0.22417594132319843,0.2005271226792694,0.3195535521133109,0.24735647145134437,0.3032121272273534,0.2783024976035785,0.2762784483351398,0.189668880659627,0.16100742587320185,0.2459801743958895,0.27025696333600174,0.30789072153381525,0.2237836998447126,0.1776212343959383,0.3088532127018314,0.31628403649745684,0.3001626416376819,0.30413054896038216,0.2584510166350942,0.18649284494780277,0.2691336868702295,0.26358032647289353,0.25260667589972813,0.20193367174118357,0.2717466319798345,0.26870479502243283,0.29052483932539425,0.19610975409793704,0.32563808993170107,0.2636930209370192,0.2117212687998263,0.26116621237802573,0.23834565992513862,0.19816875865754777,0.169554746779009,0.21243837586448217,0.17683300720078501,0.19113146533064532,0.2642170738691343,0.2479020052639215,0.1759370528894694
Computer Service Fees,61680 - Computer Service Fees,0.303858726916999,0.4682402123414001,0.2507513228361258,0.3413763967870287,0.7271188512267752,0.4899664160363597,0.23394533391067318,0.2299476096690107,0.20490004653266955,0.2841893699867247,0.25359953243899114,0.3092151550331374,0.2441242803523909,0.2624900245353582,0.394329948641027,0.1942893185506471,0.24812614479417833,0.32789918898793413,0.23274968976338084,0.2920528850174219,0.3644722950174811,0.2310615826269982,0.40402921880459763,0.2668580792687446,0.23474730069887484,0.3602849385372269,0.30271819482578166,0.45915740310654535,0.21386298798678952,0.46439250545417915,0.24858141282584903,0.23328915656218324,0.22744078089295974,0.2818208196289428,0.2272101897704243,0.40926382282845747,0.44475961828011124,0.29048612313013666,0.2841397701872838,0.2894122712116197,0.3858554321556815,0.2711881903445146,0.32417762392765254,0.3809640264579498,0.46379954234917664,0.30454080054709515,0.41227920136509694,0.22981109072961425,0.24848430150569065,0.3533185701491941,0.3040372937114373,0.2241825476177984,0.2810747458633298,0.18681854649566992,0.2614732551361497,0.34523208332001903,0.28809101699721723,0.24436459602635519,0.23758656338345208,0.1954376407126345,0.2708699243192309,0.29697727770912363,0.31100851465762724,0.3239776291616467,0.2228919128594929,0.24336847359574335,0.3180128583291969,0.30081096111393274,0.3155679459867814,0.3442329716139901,0.21440098945208477,0.23424572094707916,0.2504471342092112,0.31767564961235684,0.2388439141206551,0.21866526810859868,0.1921869101440786,0.27298848211163435,0.26867651018793587,0.2771343412119129,0.2511572084957531,0.24653401174078723,0.18720012084604123,0.2873236236653238,0.26394038518340535,0.29182161689413244,0.25068351863397703,0.2557284724601262,0.22834822142324254,0.28776854593989276,0.23032246040029158,0.2431858470218403,0.24055528372770213,0.3143843404846419,0.23602699282548312,0.2464053177981484,0.2043064750659998,0.18940132515798616,0.2045750202392601,0.2234238025330386,0.2420895244474571,0.2378546747014638,0.24157865016559213,0.23156945067502788
Consulting Fees,61120 - Consulting Fee,0.305212372554882,0.5545107537531815,0.27050936620726107,0.3905323030639868,0.48551588390127753,0.7246366622691591,0.1914701783853397,0.25493977919609306,0.22457482451851926,0.2591578825224722,0.2501370143102808,0.32564362620132686,0.2821555831967608,0.2868906165015328,0.33708381193265785,0.22368455317839797,0.3160310123618542,0.33344472202452113,0.2900946800916812,0.24404335035073274,0.38808050689727946,0.29418353349179605,0.39776716587034217,0.2905522009328851,0.20942701348618217,0.2947294335108833,0.31247961071561764,0.4457811319356848,0.20815617145023615,0.4458622077421439,0.24143153803610684,0.20348959764044017,0.24378153541626266,0.328542185707097,0.23692311774332228,0.2772228194643779,0.4264207613597341,0.2897268217859897,0.26895818891486584,0.37602071495585715,0.4311975096523762,0.23558961601564918,0.29757707686020807,0.4891218456135778,0.45269128873196784,0.2783370661293657,0.29441176403778974,0.21429968795416704,0.23506580049763198,0.3720636375123136,0.35294416016212077,0.26565871960326937,0.28652632416316537,0.2020094813318958,0.3021019933156166,0.28442046971899615,0.28723175322891126,0.19583980677655718,0.2824651730278671,0.16315383346980955,0.30310253382311336,0.20629270570334973,0.23943544728841615,0.28527087427020276,0.21191987249175684,0.27334170586861983,0.27570586347696635,0.3168730324654746,0.34491775118998325,0.3383570254650941,0.21874530670532347,0.2372780706414847,0.2724739256775019,0.29851266985157243,0.2804860355283805,0.2518176712772616,0.1539010297372643,0.3086857626215653,0.26510323232425864,0.27214570732776977,0.272490247443762,0.2744650944877687,0.1536487869435503,0.3195399319200984,0.29441608220247517,0.2810003225884568,0.25460913952862274,0.24626557425520815,0.254135966135332,0.2822475318701196,0.21021858229114423,0.25765556706988635,0.29249982778837874,0.2787560465012901,0.2774687455022348,0.29203870414820343,0.18751163485882472,0.1851374092134806,0.19033153044733764,0.18797398267195808,0.26804404429714546,0.1938702127775231,0.21709594405144098,0.21361358191568156
Pest Control,64980 - Pest Control,0.21255216050931683,0.1536954459607469,0.19262661731128672,0.16043557348182919,0.19622614577641564,0.18151945452986015,0.7233795606631355,0.1893831758066437,0.13395481523151226,0.21605047384363205,0.248799057322377,0.1733701614314577,0.2016232612602994,0.21962146515405143,0.147058511848925,0.14090874199084466,0.1381914295918776,0.2644011713488337,0.24060386127469244,0.17997525704237521,0.16754523687868306,0.1160262534252718,0.12953317497851702,0.23688067753743108,0.21165055424164675,0.18593066113541368,0.19805706287960592,0.1967786531107978,0.1655783122469144,0.2302057845347611,0.16419925432585325,0.15527382813117563,0.23739496142718347,0.21630681059796705,0.2506525734473652,0.19744914595695962,0.18455607635575966,0.17266469407490498,0.2616540092679571,0.14023091134740823,0.15390403998947405,0.31627198664876266,0.22153910531793097,0.18075659136050123,0.18312859781187144,0.1744881207741276,0.1567096762010907,0.13308324167342814,0.17393748118924035,0.18066384333761154,0.2333496418546572,0.1731864789573327,0.17870749979104578,0.142613086114633,0.19322941326049006,0.17595705856070026,0.15196231029905358,0.2573702178891347,0.10596356082180518,0.23055548080195307,0.12211732856545879,0.1603013173307822,0.2762497677983488,0.2635451664480588,0.25713515038015183,0.14136441036257477,0.23829393534146506,0.2130136393429087,0.22365136448249584,0.1364999185362494,0.18988453355654877,0.2814934274106781,0.20291621466743873,0.2286548415722399,0.17211723424792616,0.23388006267313505,0.14856745891842893,0.14291840319875526,0.15649054623698005,0.20646846974719832,0.14245869162314273,0.19308763989361583,0.199127341316643,0.17026167934030986,0.15717995781042995,0.19916667284397555,0.23731307262066753,0.14197580454007244,0.176085045769274,0.16339945333804412,0.2058761449918981,0.1814226937444718,0.15736133106350342,0.2230579421180085,0.13328553210488026,0.1931307763798627,0.21703879502182716,0.14322219027630506,0.2441445708697698,0.15254767355469315,0.27878972258293233,0.1999698195955869,0.16875323071260992,0.2644537895884359
Contracted SPED - Instruction,61780 - Contracted SPED,0.40005817019636203,0.18845691462831157,0.22135595697325888,0.19009697086803143,0.23444575481099827,0.23504792741385797,0.206584679571021,0.7136352494318842,0.37991677616709335,0.23225572360758934,0.1971852503372652,0.20387129479588725,0.1562818489825262,0.2556768410078602,0.22619685628855019,0.30566007111132854,0.2792967823793254,0.1604352349303433,0.17981767854865638,0.1990006311706035,0.16043331316318862,0.18463388132436107,0.1265415510841232,0.1875692593808157,0.17892845631361462,0.17169232438985207,0.26468035478289803,0.23862388165338866,0.16559859975100036,0.2561518639112797,0.3462196092991323,0.22928885894348872,0.4991564529612885,0.3514264471409187,0.1771602314089155,0.2190907202918205,0.2576212539466788,0.20790021817288878,0.19377230412544177,0.14227081648183662,0.2163553418537193,0.2696618832068726,0.17181842570056477,0.1819194460331273,0.2746402242889656,0.16502222624901006,0.1893137610445107,0.3257175372759934,0.21972187887085343,0.26877158918105404,0.36316952343814696,0.1898234694069064,0.1585008790725938,0.19206650102115091,0.17790598503259433,0.21911703718087822,0.2905157924102749,0.2191380295534366,0.19735923781785394,0.2769289139988915,0.2738555794520593,0.21545169049106933,0.20701923130209265,0.3078473664515822,0.17595916275769125,0.21034612337016048,0.2799316817821963,0.17892341292943062,0.18925815399102114,0.30077674113135305,0.3555751045581165,0.2023047020240445,0.2308079193968402,0.23016644974902523,0.206019349061712,0.2186965151980493,0.20835723499452433,0.18512574290670233,0.20295864816226278,0.28188027327224163,0.23268418556394185,0.23150439900074757,0.14039567773034092,0.24609199422291012,0.22062414031612038,0.21839879191736059,0.24477059680231594,0.19294330943181012,0.23555510214472372,0.20326743507045783,0.17021925511515695,0.19463546313633778,0.24829718578865345,0.2800868233196781,0.17785791532666564,0.2504884553129562,0.2637387776270643,0.14422728313581668,0.22996624868677756,0.16989853906908417,0.1864508546536766,0.2415559242973829,0.2097970440056984,0.18386885254440724
Instructional Licenses,65040 - Instructional Licenses,0.2050620374609555,0.22757096048569864,0.18428973593671721,0.22150057263334427,0.2250139382385669,0.21330372937336753,0.18287911911211474,0.31007843048305994,0.7109135527679484,0.213202269244884,0.1546155342262273,0.1721158593934935,0.39988127900702575,0.3412807315999114,0.19814326174950786,0.32688887596636246,0.27514383676668563,0.11684064329620195,0.16948506364849764,0.23045878489153987,0.12698966558551789,0.18517008763402776,0.13136942681940011,0.24713795032177488,0.1815093569151279,0.13928023396788064,0.2290652003810497,0.17815728217607824,0.1641265182255955,0.21608655673175106,0.3007868787899492,0.27400708440866905,0.29271639696549384,0.3500801994012481,0.2311674129898622,0.17040933307676198,0.22511107612385364,0.19300816689994715,0.18236292582287295,0.13920675665897655,0.1743380905243564,0.2465797139684085,0.17170146086427981,0.1925857436250309,0.3156951448376951,0.19048131080641606,0.21726075096233033,0.3360509891427096,0.1788956628644649,0.2697832624919821,0.24558610340770262,0.21502448108788527,0.1324051675164823,0.11386758322086074,0.19670867674713835,0.22433820386336986,0.3448385554159172,0.198376908124418,0.21242460371512148,0.24255634116804783,0.26306509292823915,0.19072531813398427,0.20072668909529498,0.2584661978608703,0.18295566504742597,0.19999581515792367,0.22652620100463194,0.13447540511969042,0.15406951124438636,0.26486028947282914,0.3523992736017384,0.2003390992335872,0.23848550354666304,0.2001618874636479,0.1716822616929251,0.19228502311950782,0.16740180710836655,0.16935812576903198,0.225367186059792,0.2326120103200976,0.19277430876952323,0.22442634961296387,0.13868227450627899,0.18997219128217882,0.17513407637205672,0.19023825589289267,0.21458251945460358,0.23439787901807402,0.20939322938157037,0.19435979506206225,0.17111688516947543,0.16518780521900733,0.21446505774439603,0.28188540586986094,0.13809097106320148,0.21427787371162432,0.24526244920515528,0.16439018969599367,0.1688480775016872,0.16180883027330642,0.20124342700335304,0.20080521569074872,0.21816592355385295,0.19305930462852486
Office Supplies,65210 - Office Supplies,0.24432040501068863,0.26189522247854263,0.3407517315695175,0.2891426338565403,0.30168053350668583,0.2742927643348918,0.26416973683566436,0.27696986174470845,0.21459083392226433,0.6985009020046348,0.2421696291914313,0.28238243622390696,0.2909703152165278,0.40541481629023296,0.30203643893761445,0.25124607193436754,0.2460089433836198,0.2760278431090676,0.3204773975657012,0.400413279068564,0.27374103924654725,0.23491616537381038,0.2519859316026659,0.24208677961396874,0.27943600851193195,0.3903832470868317,0.5782594798818672,0.33256741859374883,0.2278101738533046,0.3247255342915177,0.25696035127422007,0.3266372899502759,0.22313415404052964,0.2817434174931987,0.23583373556050188,0.35543261111813473,0.27280624285317845,0.2945466760161315,0.2390843664699887,0.24666840468301074,0.29760062453977926,0.37336605990335175,0.3849002370143611,0.22765931533102962,0.3177048913960845,0.3328056524871407,0.2894157346502244,0.3802397930089019,0.2751382036945353,0.24611280314808248,0.31857629621880235,0.24652695132261376,0.21173525399337956,0.19844443654499344,0.22808871368269273,0.3112428102072502,0.351126040307094,0.25341816660772076,0.21271277376809253,0.21699572567438302,0.19930957875602054,0.26227859831880884,0.2443065505178695,0.35042093374884586,0.4035652149609579,0.20977739728826997,0.42466175722721744,0.29335996640354833,0.2640460210139496,0.27961648190272603,0.33345755743828,0.2740364017348248,0.24007352615626495,0.25150262328074774,0.2329337293491204,0.3800976301000055,0.24362214277429334,0.2410461239393029,0.2217888335603641,0.30698794618680825,0.22855206594585362,0.24382576847754794,0.3230723512428186,0.24610933024547252,0.21118853665486712,0.2521259139196566,0.31051774674598054,0.22176497807400486,0.2371945509798378,0.2252688832496037,0.22470808817207805,0.19418785416830162,0.2268130555244264,0.2633476381466007,0.19940532465540287,0.23606158764836688,0.2676627506317419,0.17510675434420714,0.2963278497530097,0.23001969268256617,0.24641289537224478,0.27575802246980585,0.21485639893876052,0.20247923581984328
